l_id,r_id,brand_similarity,model_similarity,description_jaccard,description_levenshtein,similarity,predicted_match
buy.net//4233,www.ebay.com//47958,1.0,0.0,0.35714285714285715,74,0.3829,False
buy.net//4233,www.ebay.com//54309,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//4233,www.ebay.com//54875,1.0,0.0,0.38461538461538464,63,0.4278,False
buy.net//4233,www.ebay.com//58644,1.0,0.0,0.37037037037037035,63,0.4243,False
buy.net//4233,www.ebay.com//59627,1.0,0.0,0.23076923076923078,64,0.3859,False
buy.net//4233,www.ebay.com//59846,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//4233,www.ebay.com//60813,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//4233,www.gosale.com//1097,1.0,0.0,0.12903225806451613,68,0.3466,False
buy.net//4233,www.gosale.com//544,1.0,0.0,0.12903225806451613,68,0.3466,False
buy.net//4233,www.gosale.com//608,1.0,0.0,0.12903225806451613,68,0.3466,False
buy.net//4233,www.gosale.com//968,1.0,0.0,0.13333333333333333,67,0.3512,False
buy.net//4233,www.walmart.com//718,1.0,0.0,0.2903225806451613,70,0.4019,False
buy.net//5372,www.ebay.com//23959,1.0,0.0,0.52,70,0.4573,False
buy.net//5372,www.ebay.com//24211,1.0,0.0,0.3548387096774194,67,0.4255,False
buy.net//5372,www.ebay.com//24900,1.0,0.0,0.46153846153846156,71,0.4395,False
buy.net//5372,www.ebay.com//25046,1.0,0.0,0.4074074074074074,76,0.41,False
buy.net//5372,www.ebay.com//25067,1.0,0.0,0.30303030303030304,69,0.4062,False
buy.net//5372,www.ebay.com//42036,1.0,0.0,0.2903225806451613,76,0.3808,False
buy.net//5372,www.ebay.com//43620,1.0,0.0,0.4074074074074074,71,0.4259,False
buy.net//5372,www.ebay.com//45048,1.0,0.0,0.3,73,0.3927,False
buy.net//5372,www.ebay.com//45259,1.0,0.0,0.3225806451612903,69,0.4111,False
buy.net//5372,www.ebay.com//45389,1.0,0.0,0.35714285714285715,76,0.3975,False
buy.net//5372,www.ebay.com//45823,1.0,0.0,0.4074074074074074,71,0.4259,False
buy.net//5372,www.ebay.com//45969,1.0,0.0,0.18421052631578946,74,0.3606,False
buy.net//5372,www.ebay.com//47015,1.0,0.0,0.39285714285714285,70,0.4255,False
buy.net//5372,www.ebay.com//47021,1.0,0.0,0.14705882352941177,78,0.3386,False
buy.net//5372,www.ebay.com//47958,1.0,0.0,0.48148148148148145,81,0.4126,False
buy.net//5372,www.ebay.com//54309,1.0,0.0,0.4074074074074074,71,0.4259,False
buy.net//5372,www.ebay.com//54875,1.0,0.0,0.52,70,0.4573,False
buy.net//5372,www.ebay.com//55385,1.0,0.0,0.3103448275862069,77,0.3826,False
buy.net//5372,www.ebay.com//58021,1.0,0.0,0.21212121212121213,71,0.3771,False
buy.net//5372,www.ebay.com//58644,1.0,0.0,0.5,69,0.4555,False
buy.net//5372,www.ebay.com//59627,1.0,0.0,0.3076923076923077,67,0.4137,False
buy.net//5372,www.ebay.com//59846,1.0,0.0,0.4074074074074074,71,0.4259,False
buy.net//5372,www.ebay.com//60813,1.0,0.0,0.3548387096774194,66,0.4287,False
buy.net//5372,www.gosale.com//1097,1.0,1.0,0.15625,74,0.5536,True
buy.net//5372,www.gosale.com//544,1.0,1.0,0.15625,74,0.5536,True
buy.net//5372,www.gosale.com//608,1.0,1.0,0.15625,74,0.5536,True
buy.net//5372,www.gosale.com//968,1.0,0.0,0.125,76,0.3394,False
buy.net//5372,www.walmart.com//154,1.0,0.0,0.3548387096774194,74,0.4075,False
buy.net//5372,www.walmart.com//718,1.0,1.0,0.4,73,0.6198,True
buy.net//5631,www.ebay.com//23959,1.0,0.0,0.38461538461538464,63,0.4278,False
buy.net//5631,www.ebay.com//24211,1.0,0.0,0.3333333333333333,61,0.4219,False
buy.net//5631,www.ebay.com//24900,1.0,0.0,0.38461538461538464,64,0.4244,False
buy.net//5631,www.ebay.com//25046,1.0,0.0,0.38461538461538464,67,0.414,False
buy.net//5631,www.ebay.com//25067,1.0,0.0,0.28125,62,0.4055,False
buy.net//5631,www.ebay.com//42036,1.0,0.0,0.22580645161290322,70,0.3639,False
buy.net//5631,www.ebay.com//43620,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//5631,www.ebay.com//45048,1.0,0.0,0.1935483870967742,71,0.3523,False
buy.net//5631,www.ebay.com//45259,1.0,0.0,0.3,62,0.4101,False
buy.net//5631,www.ebay.com//45823,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//5631,www.ebay.com//45969,1.0,0.0,0.19444444444444445,72,0.3491,False
buy.net//5631,www.ebay.com//47015,1.0,0.0,0.32142857142857145,62,0.4155,False
buy.net//5631,www.ebay.com//47021,1.0,0.0,0.15625,71,0.343,False
buy.net//5631,www.ebay.com//47958,1.0,0.0,0.35714285714285715,74,0.3829,False
buy.net//5631,www.ebay.com//54309,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//5631,www.ebay.com//54875,1.0,0.0,0.38461538461538464,63,0.4278,False
buy.net//5631,www.ebay.com//58644,1.0,0.0,0.37037037037037035,63,0.4243,False
buy.net//5631,www.ebay.com//59627,1.0,0.0,0.23076923076923078,64,0.3859,False
buy.net//5631,www.ebay.com//59846,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//5631,www.ebay.com//60813,1.0,0.0,0.3333333333333333,63,0.415,False
buy.net//5631,www.gosale.com//1097,1.0,0.0,0.12903225806451613,68,0.3466,False
buy.net//5631,www.gosale.com//544,1.0,0.0,0.12903225806451613,68,0.3466,False
buy.net//5631,www.gosale.com//608,1.0,0.0,0.12903225806451613,68,0.3466,False
buy.net//5631,www.gosale.com//968,1.0,0.0,0.13333333333333333,67,0.3512,False
buy.net//5631,www.walmart.com//718,1.0,0.0,0.2903225806451613,70,0.4019,False
buy.net//5648,www.ebay.com//23959,1.0,0.0,0.4230769230769231,63,0.4497,False
buy.net//5648,www.ebay.com//24211,1.0,0.0,0.28125,67,0.4012,False
buy.net//5648,www.ebay.com//24900,1.0,0.0,0.4230769230769231,64,0.4464,False
buy.net//5648,www.ebay.com//25046,1.0,0.0,0.37037037037037035,72,0.4071,False
buy.net//5648,www.ebay.com//25067,1.0,0.0,0.23529411764705882,67,0.3897,False
buy.net//5648,www.ebay.com//42036,1.0,0.0,0.25806451612903225,71,0.3823,False
buy.net//5648,www.ebay.com//43620,1.0,0.0,0.48,62,0.4672,False
buy.net//5648,www.ebay.com//45048,1.0,0.0,0.26666666666666666,69,0.391,False
buy.net//5648,www.ebay.com//45259,1.0,0.0,0.25,65,0.3999,False
buy.net//5648,www.ebay.com//45389,1.0,0.0,0.4230769230769231,68,0.4333,False
buy.net//5648,www.ebay.com//45823,1.0,0.0,0.48,62,0.4672,False
buy.net//5648,www.ebay.com//45969,1.0,0.0,0.15789473684210525,75,0.3441,False
buy.net//5648,www.ebay.com//47015,1.0,0.0,0.46153846153846156,62,0.4626,False
buy.net//5648,www.ebay.com//47021,1.0,0.0,0.11764705882352941,74,0.3374,False
buy.net//5648,www.ebay.com//47958,1.0,0.0,0.39285714285714285,74,0.4062,False
buy.net//5648,www.ebay.com//54309,1.0,0.0,0.48,62,0.4672,False
buy.net//5648,www.ebay.com//54875,1.0,0.0,0.4230769230769231,63,0.4497,False
buy.net//5648,www.ebay.com//55385,1.0,0.0,0.37037037037037035,69,0.4169,False
buy.net//5648,www.ebay.com//58021,1.0,0.0,0.21875,69,0.379,False
buy.net//5648,www.ebay.com//58644,1.0,0.0,0.4074074074074074,62,0.449,False
buy.net//5648,www.ebay.com//59627,1.0,0.0,0.2692307692307692,64,0.408,False
buy.net//5648,www.ebay.com//59846,1.0,0.0,0.48,62,0.4672,False
buy.net//5648,www.ebay.com//60813,1.0,0.0,0.28125,65,0.4077,False
buy.net//5648,www.gosale.com//1097,1.0,0.0,0.125,74,0.3392,False
buy.net//5648,www.gosale.com//544,1.0,0.0,0.125,74,0.3392,False
buy.net//5648,www.gosale.com//608,1.0,0.0,0.125,74,0.3392,False
buy.net//5648,www.gosale.com//968,1.0,1.0,0.16666666666666666,74,0.5496,False
buy.net//5648,www.walmart.com//154,1.0,0.0,0.36666666666666664,76,0.4042,False
buy.net//5648,www.walmart.com//718,1.0,0.0,0.36666666666666664,77,0.3989,False
buy.net//5705,www.ebay.com//23959,1.0,0.0,0.19148936170212766,182,0.328,False
buy.net//5705,www.ebay.com//24211,1.0,0.0,0.17647058823529413,175,0.3346,False
buy.net//5705,www.ebay.com//24900,1.0,0.0,0.19148936170212766,183,0.3265,False
buy.net//5705,www.ebay.com//25046,1.0,0.0,0.16666666666666666,185,0.3173,False
buy.net//5705,www.ebay.com//25067,1.0,0.0,0.17307692307692307,176,0.3323,False
buy.net//5705,www.ebay.com//42036,1.0,0.0,0.1836734693877551,176,0.3349,False
buy.net//5705,www.ebay.com//43620,1.0,0.0,0.19148936170212766,182,0.328,False
buy.net//5705,www.ebay.com//45048,1.0,0.0,0.14,180,0.3181,False
buy.net//5705,www.ebay.com//45259,1.0,0.0,0.1346153846153846,177,0.3212,False
buy.net//5705,www.ebay.com//45823,1.0,0.0,0.19148936170212766,182,0.328,False
buy.net//5705,www.ebay.com//45969,1.0,0.0,0.14545454545454545,175,0.3268,False
buy.net//5705,www.ebay.com//47015,1.0,0.0,0.1875,180,0.3299,False
buy.net//5705,www.ebay.com//47021,1.0,0.0,0.09615384615384616,191,0.2908,False
buy.net//5705,www.ebay.com//47958,1.0,0.0,0.1836734693877551,193,0.3097,False
buy.net//5705,www.ebay.com//54309,1.0,0.0,0.19148936170212766,182,0.328,False
buy.net//5705,www.ebay.com//54875,1.0,0.0,0.19148936170212766,182,0.328,False
buy.net//5705,www.ebay.com//58644,1.0,0.0,0.1875,180,0.3299,False
buy.net//5705,www.ebay.com//59627,1.0,0.0,0.13043478260869565,192,0.2979,False
buy.net//5705,www.ebay.com//59846,1.0,0.0,0.19148936170212766,182,0.328,False
buy.net//5705,www.ebay.com//60813,1.0,0.0,0.2,172,0.3449,False
buy.net//5705,www.gosale.com//1097,1.0,0.0,0.1,193,0.2888,False
buy.net//5705,www.gosale.com//544,1.0,0.0,0.1,192,0.2903,False
buy.net//5705,www.gosale.com//608,1.0,0.0,0.1,194,0.2873,False
buy.net//5705,www.gosale.com//968,1.0,0.0,0.08,191,0.2867,False
buy.net//5705,www.walmart.com//718,1.0,0.0,0.2,179,0.3345,False
buy.net//6299,www.ebay.com//23959,1.0,0.0,0.16666666666666666,185,0.3185,False
buy.net//6299,www.ebay.com//24211,1.0,0.0,0.15384615384615385,175,0.33,False
buy.net//6299,www.ebay.com//24900,1.0,0.0,0.16666666666666666,186,0.317,False
buy.net//6299,www.ebay.com//25046,1.0,0.0,0.16666666666666666,184,0.3199,False
buy.net//6299,www.ebay.com//25067,1.0,0.0,0.19607843137254902,177,0.3376,False
buy.net//6299,www.ebay.com//42036,1.0,0.0,0.1836734693877551,176,0.336,False
buy.net//6299,www.ebay.com//43620,1.0,0.0,0.16666666666666666,185,0.3185,False
buy.net//6299,www.ebay.com//45048,1.0,0.0,0.11764705882352941,182,0.3106,False
buy.net//6299,www.ebay.com//45259,1.0,0.0,0.1346153846153846,177,0.3223,False
buy.net//6299,www.ebay.com//45823,1.0,0.0,0.16666666666666666,185,0.3185,False
buy.net//6299,www.ebay.com//45969,1.0,0.0,0.16666666666666666,176,0.3318,False
buy.net//6299,www.ebay.com//47015,1.0,0.0,0.16326530612244897,183,0.3206,False
buy.net//6299,www.ebay.com//47021,1.0,0.0,0.09615384615384616,191,0.292,False
buy.net//6299,www.ebay.com//47958,1.0,0.0,0.16,195,0.302,False
buy.net//6299,www.ebay.com//54309,1.0,0.0,0.16666666666666666,185,0.3185,False
buy.net//6299,www.ebay.com//54875,1.0,0.0,0.16666666666666666,185,0.3185,False
buy.net//6299,www.ebay.com//58644,1.0,0.0,0.16326530612244897,183,0.3206,False
buy.net//6299,www.ebay.com//59627,1.0,0.0,0.13043478260869565,193,0.2976,False
buy.net//6299,www.ebay.com//59846,1.0,0.0,0.16666666666666666,185,0.3185,False
buy.net//6299,www.ebay.com//60813,1.0,0.0,0.17647058823529413,173,0.3386,False
buy.net//6299,www.gosale.com//1097,1.0,0.0,0.1,194,0.2885,False
buy.net//6299,www.gosale.com//544,1.0,0.0,0.1,193,0.29,False
buy.net//6299,www.gosale.com//608,1.0,0.0,0.1,195,0.287,False
buy.net//6299,www.gosale.com//968,1.0,0.0,0.08,192,0.2865,False
buy.net//6299,www.walmart.com//718,1.0,0.0,0.17647058823529413,180,0.3283,False
www.ebay.com//23959,www.gosale.com//1097,1.0,0.0,0.20833333333333334,46,0.3902,False
www.ebay.com//23959,www.gosale.com//544,1.0,0.0,0.20833333333333334,44,0.3995,False
www.ebay.com//23959,www.gosale.com//608,1.0,0.0,0.20833333333333334,46,0.3902,False
www.ebay.com//23959,www.gosale.com//968,1.0,0.0,0.16666666666666666,47,0.3752,False
www.ebay.com//23959,www.walmart.com//154,1.0,0.0,0.4782608695652174,72,0.4446,False
www.ebay.com//23959,www.walmart.com//718,1.0,0.0,0.5454545454545454,71,0.4625,False
www.ebay.com//24211,www.gosale.com//1097,1.0,0.0,0.17857142857142858,62,0.3686,False
www.ebay.com//24211,www.gosale.com//544,1.0,0.0,0.17857142857142858,60,0.3759,False
www.ebay.com//24211,www.gosale.com//608,1.0,0.0,0.17857142857142858,62,0.3686,False
www.ebay.com//24211,www.gosale.com//968,1.0,0.0,0.14285714285714285,59,0.3706,False
www.ebay.com//24211,www.walmart.com//154,1.0,0.0,0.3103448275862069,74,0.3963,False
www.ebay.com//24211,www.walmart.com//718,1.0,0.0,0.35714285714285715,73,0.4091,False
www.ebay.com//24900,www.gosale.com//1097,1.0,0.0,0.16,46,0.3782,False
www.ebay.com//24900,www.gosale.com//544,1.0,0.0,0.16,45,0.3828,False
www.ebay.com//24900,www.gosale.com//608,1.0,0.0,0.16,45,0.3828,False
www.ebay.com//24900,www.gosale.com//968,1.0,0.0,0.16666666666666666,48,0.3706,False
www.ebay.com//24900,www.walmart.com//154,1.0,0.0,0.4782608695652174,72,0.4446,False
www.ebay.com//24900,www.walmart.com//718,1.0,0.0,0.4782608695652174,71,0.4457,False
www.ebay.com//25046,www.gosale.com//1097,1.0,0.0,0.20833333333333334,48,0.3867,False
www.ebay.com//25046,www.gosale.com//544,1.0,0.0,0.20833333333333334,46,0.3957,False
www.ebay.com//25046,www.gosale.com//608,1.0,0.0,0.20833333333333334,47,0.3912,False
www.ebay.com//25046,www.gosale.com//968,1.0,0.0,0.16666666666666666,48,0.3763,False
www.ebay.com//25046,www.walmart.com//154,1.0,0.0,0.4166666666666667,74,0.4229,False
www.ebay.com//25046,www.walmart.com//718,1.0,0.0,0.4782608695652174,73,0.4394,False
www.ebay.com//25067,www.gosale.com//1097,1.0,0.0,0.1724137931034483,60,0.3648,False
www.ebay.com//25067,www.gosale.com//544,1.0,0.0,0.1724137931034483,60,0.3648,False
www.ebay.com//25067,www.gosale.com//608,1.0,0.0,0.1724137931034483,61,0.361,False
www.ebay.com//25067,www.gosale.com//968,1.0,0.0,0.13793103448275862,59,0.36,False
www.ebay.com//25067,www.walmart.com//154,1.0,0.0,0.25806451612903225,75,0.3801,False
www.ebay.com//25067,www.walmart.com//718,1.0,0.0,0.3,74,0.3917,False
www.ebay.com//42036,www.gosale.com//1097,1.0,0.0,0.34782608695652173,54,0.4246,False
www.ebay.com//42036,www.gosale.com//544,1.0,0.0,0.34782608695652173,54,0.4246,False
www.ebay.com//42036,www.gosale.com//608,1.0,0.0,0.34782608695652173,55,0.4207,False
www.ebay.com//42036,www.gosale.com//968,1.0,0.0,0.15384615384615385,58,0.3604,False
www.ebay.com//42036,www.walmart.com//154,1.0,0.0,0.2857142857142857,78,0.3777,False
www.ebay.com//42036,www.walmart.com//718,1.0,0.0,0.3333333333333333,76,0.3937,False
www.ebay.com//43620,www.gosale.com//1097,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//43620,www.gosale.com//544,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//43620,www.gosale.com//608,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//43620,www.gosale.com//968,1.0,0.0,0.21739130434782608,46,0.3925,False
www.ebay.com//43620,www.walmart.com//154,1.0,0.0,0.4166666666666667,72,0.4292,False
www.ebay.com//43620,www.walmart.com//718,1.0,0.0,0.4166666666666667,71,0.4303,False
www.ebay.com//45048,www.gosale.com//1097,1.0,0.0,0.25,59,0.388,False
www.ebay.com//45048,www.gosale.com//544,1.0,0.0,0.25,58,0.3918,False
www.ebay.com//45048,www.gosale.com//608,1.0,0.0,0.25,60,0.3842,False
www.ebay.com//45048,www.gosale.com//968,1.0,0.0,0.20833333333333334,58,0.3814,False
www.ebay.com//45048,www.walmart.com//154,1.0,0.0,0.2962962962962963,74,0.3928,False
www.ebay.com//45048,www.walmart.com//718,1.0,0.0,0.34615384615384615,72,0.4095,False
www.ebay.com//45259,www.gosale.com//1097,1.0,0.0,0.18518518518518517,58,0.378,False
www.ebay.com//45259,www.gosale.com//544,1.0,0.0,0.18518518518518517,58,0.378,False
www.ebay.com//45259,www.gosale.com//608,1.0,0.0,0.18518518518518517,59,0.3743,False
www.ebay.com//45259,www.gosale.com//968,1.0,0.0,0.14814814814814814,60,0.3612,False
www.ebay.com//45259,www.walmart.com//154,1.0,0.0,0.27586206896551724,75,0.3846,False
www.ebay.com//45259,www.walmart.com//718,1.0,0.0,0.32142857142857145,74,0.397,False
www.ebay.com//45389,www.gosale.com//1097,1.0,0.0,0.16,41,0.379,False
www.ebay.com//45389,www.gosale.com//544,1.0,0.0,0.16,41,0.379,False
www.ebay.com//45389,www.gosale.com//608,1.0,0.0,0.16,41,0.379,False
www.ebay.com//45389,www.gosale.com//968,1.0,0.0,0.16666666666666666,40,0.3858,False
www.ebay.com//45389,www.walmart.com//718,1.0,0.0,0.4166666666666667,68,0.4398,False
www.ebay.com//45823,www.gosale.com//1097,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//45823,www.gosale.com//544,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//45823,www.gosale.com//608,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//45823,www.gosale.com//968,1.0,0.0,0.21739130434782608,46,0.3925,False
www.ebay.com//45823,www.walmart.com//154,1.0,0.0,0.4166666666666667,72,0.4292,False
www.ebay.com//45823,www.walmart.com//718,1.0,0.0,0.4166666666666667,71,0.4303,False
www.ebay.com//45969,www.gosale.com//1097,1.0,0.0,0.16129032258064516,62,0.3643,False
www.ebay.com//45969,www.gosale.com//544,1.0,0.0,0.16129032258064516,61,0.3679,False
www.ebay.com//45969,www.gosale.com//608,1.0,0.0,0.16129032258064516,63,0.3606,False
www.ebay.com//45969,www.gosale.com//968,1.0,0.0,0.09375,63,0.3438,False
www.ebay.com//45969,www.walmart.com//154,1.0,0.0,0.17142857142857143,79,0.346,False
www.ebay.com//45969,www.walmart.com//718,1.0,0.0,0.17142857142857143,78,0.3469,False
www.ebay.com//47015,www.gosale.com//1097,1.0,0.0,0.2,49,0.3883,False
www.ebay.com//47015,www.gosale.com//544,1.0,0.0,0.2,49,0.3883,False
www.ebay.com//47015,www.gosale.com//608,1.0,0.0,0.2,49,0.3883,False
www.ebay.com//47015,www.gosale.com//968,1.0,0.0,0.20833333333333334,50,0.386,False
www.ebay.com//47015,www.walmart.com//154,1.0,0.0,0.4,70,0.4313,False
www.ebay.com//47015,www.walmart.com//718,1.0,0.0,0.4,69,0.4324,False
www.ebay.com//47021,www.gosale.com//1097,1.0,0.0,0.1111111111111111,50,0.3413,False
www.ebay.com//47021,www.gosale.com//544,1.0,0.0,0.1111111111111111,50,0.3413,False
www.ebay.com//47021,www.gosale.com//608,1.0,0.0,0.1111111111111111,50,0.3413,False
www.ebay.com//47021,www.gosale.com//968,1.0,0.0,0.11538461538461539,52,0.3329,False
www.ebay.com//47021,www.walmart.com//154,1.0,0.0,0.12903225806451613,80,0.3323,False
www.ebay.com//47021,www.walmart.com//718,1.0,0.0,0.12903225806451613,80,0.33,False
www.ebay.com//47958,www.gosale.com//1097,1.0,0.0,0.19230769230769232,57,0.3688,False
www.ebay.com//47958,www.gosale.com//544,1.0,0.0,0.19230769230769232,55,0.3768,False
www.ebay.com//47958,www.gosale.com//608,1.0,0.0,0.19230769230769232,57,0.3688,False
www.ebay.com//47958,www.gosale.com//968,1.0,0.0,0.15384615384615385,58,0.3551,False
www.ebay.com//47958,www.walmart.com//154,1.0,0.0,0.44,80,0.41,False
www.ebay.com//47958,www.walmart.com//718,1.0,0.0,0.5,80,0.4227,False
www.ebay.com//54309,www.gosale.com//1097,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//54309,www.gosale.com//544,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//54309,www.gosale.com//608,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//54309,www.gosale.com//968,1.0,0.0,0.21739130434782608,46,0.3925,False
www.ebay.com//54309,www.walmart.com//154,1.0,0.0,0.4166666666666667,72,0.4292,False
www.ebay.com//54309,www.walmart.com//718,1.0,0.0,0.4166666666666667,71,0.4303,False
www.ebay.com//54875,www.gosale.com//1097,1.0,0.0,0.20833333333333334,46,0.3902,False
www.ebay.com//54875,www.gosale.com//544,1.0,0.0,0.20833333333333334,44,0.3995,False
www.ebay.com//54875,www.gosale.com//608,1.0,0.0,0.20833333333333334,46,0.3902,False
www.ebay.com//54875,www.gosale.com//968,1.0,0.0,0.16666666666666666,47,0.3752,False
www.ebay.com//54875,www.walmart.com//154,1.0,0.0,0.4782608695652174,72,0.4446,False
www.ebay.com//54875,www.walmart.com//718,1.0,0.0,0.5454545454545454,71,0.4625,False
www.ebay.com//55385,www.gosale.com//1097,1.0,0.0,0.16,40,0.3871,False
www.ebay.com//55385,www.gosale.com//544,1.0,0.0,0.16,40,0.3871,False
www.ebay.com//55385,www.gosale.com//608,1.0,0.0,0.16,40,0.3871,False
www.ebay.com//55385,www.gosale.com//968,1.0,0.0,0.16666666666666666,39,0.3938,False
www.ebay.com//55385,www.walmart.com//718,1.0,0.0,0.36,67,0.4287,False
www.ebay.com//58021,www.gosale.com//1097,1.0,0.0,0.14814814814814814,50,0.3683,False
www.ebay.com//58021,www.gosale.com//544,1.0,0.0,0.14814814814814814,50,0.3683,False
www.ebay.com//58021,www.gosale.com//608,1.0,0.0,0.14814814814814814,50,0.3683,False
www.ebay.com//58021,www.gosale.com//968,1.0,0.0,0.15384615384615385,48,0.3785,False
www.ebay.com//58021,www.walmart.com//718,1.0,0.0,0.2,74,0.3667,False
www.ebay.com//58644,www.gosale.com//1097,1.0,0.0,0.2,50,0.384,False
www.ebay.com//58644,www.gosale.com//544,1.0,0.0,0.2,48,0.3926,False
www.ebay.com//58644,www.gosale.com//608,1.0,0.0,0.2,50,0.384,False
www.ebay.com//58644,www.gosale.com//968,1.0,0.0,0.16,51,0.3696,False
www.ebay.com//58644,www.walmart.com//154,1.0,0.0,0.4583333333333333,70,0.4458,False
www.ebay.com//58644,www.walmart.com//718,1.0,0.0,0.5217391304347826,69,0.4629,False
www.ebay.com//59627,www.gosale.com//1097,1.0,0.0,0.3157894736842105,31,0.4352,False
www.ebay.com//59627,www.gosale.com//544,1.0,0.0,0.3157894736842105,30,0.4414,False
www.ebay.com//59627,www.gosale.com//608,1.0,0.0,0.3157894736842105,31,0.4352,False
www.ebay.com//59627,www.gosale.com//968,1.0,0.0,0.2631578947368421,35,0.4046,False
www.ebay.com//59627,www.walmart.com//154,1.0,0.0,0.30434782608695654,76,0.3886,False
www.ebay.com//59627,www.walmart.com//718,1.0,0.0,0.36363636363636365,75,0.4044,False
www.ebay.com//59846,www.gosale.com//1097,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//59846,www.gosale.com//544,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//59846,www.gosale.com//608,1.0,0.0,0.20833333333333334,45,0.3948,False
www.ebay.com//59846,www.gosale.com//968,1.0,0.0,0.21739130434782608,46,0.3925,False
www.ebay.com//59846,www.walmart.com//154,1.0,0.0,0.4166666666666667,72,0.4292,False
www.ebay.com//59846,www.walmart.com//718,1.0,0.0,0.4166666666666667,71,0.4303,False
www.ebay.com//60813,www.gosale.com//1097,1.0,0.0,0.17857142857142858,59,0.375,False
www.ebay.com//60813,www.gosale.com//544,1.0,0.0,0.17857142857142858,57,0.3824,False
www.ebay.com//60813,www.gosale.com//608,1.0,0.0,0.17857142857142858,60,0.3712,False
www.ebay.com//60813,www.gosale.com//968,1.0,0.0,0.14285714285714285,58,0.3698,False
www.ebay.com//60813,www.walmart.com//154,1.0,0.0,0.3103448275862069,75,0.3932,False
